family	verdict	count
bare	Held	25
bare	BlockedForVerification	1
bare	Unresolved	2
baseline	Held	250
baseline	BlockedForVerification	10
baseline	Unresolved	20
composition	Held	54
composition	BlockedForVerification	27
count	Held	560
count	BlockedForVerification	80
count-distinct	Held	1810
count-distinct	BlockedForVerification	270
count-distinct	Unresolved	160
delegated-count	Held	64
delegated-count	BlockedForVerification	8
delegation	Held	32
delegation	KnownResidue	16
element	BlockedForVerification	78
nested	Held	144
string	Held	6
string	BlockedForVerification	10
