old                                      new
0006df0f51d3da80354174734a691be3003def5d 1f7e37e4b22b73ae8cca526f463ace9c6dbcb3d1
001a8d31e2debde0ffcc3abf78f540830a24ae4c 0000000000000000000000000000000000000000
004201d91bed8007dd6a237737cf856f501df3e5 0000000000000000000000000000000000000000
004ead8f5bec3b420b50ac32c98ca284b5a09f29 0000000000000000000000000000000000000000
0061813e8c1f2be30e702a0805610af2b0f5214e b2b34be402fb170e448c6e440adbc256ec3e1f66
006d02f549174cd6d3f6852ff005f7bb3a40dd6c 3f56fa6f4ecc7f71632639745fc83f2bb1170f52
007c997c6d546cea316156c80469526b8efd7924 0000000000000000000000000000000000000000
00a2948dcd188c37373395df7a012178e7334884 0000000000000000000000000000000000000000
00c201e39ba5696fb2ea518a5da85d2ee1583073 cf092642333dc3c88ad407e7a9b70503770a4784
00fda56ef657bba24603695ae0b16e55058eee9a 0000000000000000000000000000000000000000
01126c6740f42eb0c4d1ef7564f33d4b9ca768a5 0000000000000000000000000000000000000000
018397a9bb3063cf8eed0283f8ff8c3fb31d7ad7 0000000000000000000000000000000000000000
01ef23d30f8a7a7a295c17dcdefe580e2ae54172 1cec109f68425f4c4534ea2e39dcb5804f48c947
0225f26207c46550e9ca69f2456a494f0806b7e6 0000000000000000000000000000000000000000
027c1621e540facf2af65ee15c2239703619b0df 0000000000000000000000000000000000000000
029b5abcfcd6184b24c406a35ea8ce51f8e2502c 6113e0ec1178b73de3b2b6a54abf6b61cbb39915
02b49e21fa918a1f78ef24ff903a764f984b57af 0000000000000000000000000000000000000000
02f7696627e03252298edf1d4022aa0eca0581bd 0000000000000000000000000000000000000000
02ff496536e4054e25b6eaba79ff3bd117548eb9 a96085add991d2b2097c916891a98794510e9590
038e76c6dfd2b5840b50af10ae94efcae9bc3f94 02487905cbc47cd3867895701d04e1766a587d33
039daf709c0db3c600a9885fcd10774573743026 3ef442a63ab78edb48af06bfe76e11b15551a7bb
03c94a65f0e993ffb78cda8e917f96bbd3b3f0ef 0000000000000000000000000000000000000000
03d95315fe1213df4f4eb02ecd53d8e07e4f040a 0000000000000000000000000000000000000000
04045ae54d59107a406e9a5459fcee90e917195d ffc0a6b6f7a33fe0092250c1e3aaf72a0882b57d
047ad07f9a0f8ec86153b8b999d28c9300c1b99f 0000000000000000000000000000000000000000
04ac480af2bf9f9c89d04b062b2adc9f89e99d13 0000000000000000000000000000000000000000
04ad37114673fb28c1759afe73f3775b29b8c6ea 0000000000000000000000000000000000000000
04c9e77f2729f9fd17f9afdea5cf8eeda2ee4467 0000000000000000000000000000000000000000
04d41ab36907b0356d8a4807ce86437665c90fab a38e8058d02e2be85da567e2523522a6fe25e46c
053dd24b0ff5d8850f44b783db408043e44c8c11 0000000000000000000000000000000000000000
055686d232f29617d465a565956e4365d6f8efc2 0000000000000000000000000000000000000000
05b13d25770453194d7aaa48d4d6ccbb45bd6db7 1897a4f10be44124ca64470373d7b57d4c13fba4
05d485785eab4b92211eef1d9439f6317335642e 0000000000000000000000000000000000000000
05dea33a9ddb237bb21343c9a3eb63c30fdd1334 0000000000000000000000000000000000000000
06310ff44da1a777a244a4384edf1d99bea3b212 0000000000000000000000000000000000000000
06706d1ddb6388a14ac87cd287db2eb375925cc5 f743987222534a56002eb5b327acce05a4a566b3
0682fefc995281f87289212839b13ac39666900d 2ed73a2587503da0a162420c229179260d254b5a
06de228c1d7a08a88d29b64f278c1bce849b7b59 0000000000000000000000000000000000000000
0704efb8504baab7f45413f8e4b6253550fc9c2b 0000000000000000000000000000000000000000
072ac7e748b5b21b8eb6a1b0a2594dde0e104ffc 0000000000000000000000000000000000000000
